period,Ygrowth,GCgrowth,Cgrowth,GIgrowth,Igrowth,wgrowth,N,pi,RB,TOP10Ishare,TOP10Wshare,B50Ishare,B50Wshare,GiniGrossInc,GiniNetInc,GiniWealth
1999-04-01,9.291665376303672e-4,-0.0030176296402098625,0.002442713852956936,-0.0013974204470726679,9.890921461583198e-4,0.009531974393551657,-0.04248722511097469,-0.0019584072979577285,0.004447634047819915,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-07-01,0.006681986083989346,0.0112695421181092,8.958446304449209e-4,-0.01625884082954085,0.021527104061564037,0.0045462296113304105,-0.03989278889959458,-0.00860340517259541,0.00460892658861246,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-10-01,0.0019859640612918685,-0.013557850866923026,0.00975516224943487,-0.0015621061719067473,-0.00389932500619279,0.002515933892869604,-0.03750456724285112,-0.006042265077451,0.006437018663204535,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-01-01,0.015146327748428336,0.019502412766872524,0.010690545872481218,-0.003092204175682318,0.025865611932642293,0.005955564380681089,-0.03142776814559767,-0.0076086185424855315,0.00673198020166607,-0.07214898949836379,-0.002618785713096372,0.07391082676378558,0.07672795985359704,-0.057525761827048605,-0.061126564670610506,-7.554444115043246e-4
2000-04-01,0.0030097235541196045,-0.012917292808087687,0.007534971842225425,-0.016152786268905123,0.008373435048431176,0.005223343435645312,-0.030206954717105994,-0.00597872056379469,0.008572457869159868,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-07-01,0.001765971049864591,-0.004543787303546609,0.0021182424688189995,0.005125524801760677,0.006523416620342658,0.005112477204191357,-0.03020069282597948,-0.004172260326383645,0.00970748020166607,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-01,-0.0016736537326226806,0.002039873708258688,9.141327634084829e-4,0.019690732581196274,-0.015032163491239437,0.0014011557202416535,-0.030758328480646746,-0.0024771007498931765,0.010430878248064115,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2001-01-01,0.004003370443612044,0.0014415861224367664,0.008843095279078918,-0.015209399699664145,-0.004597482755420558,4.024953897073468e-4,-0.03285675364008167,1.7942499001264746e-4,0.009722238615127606,-0.06905684108530963,-0.008205392421736124,0.06973932592899512,0.041100782210445885,-0.05454922843310184,-0.04332014882283075,1.910771925264232e-4
2001-04-01,-0.011202880077834263,-0.010798176617399968,-0.006413158480203939,-0.02630035126147065,-0.023343576611315323,-0.003280830090282827,-0.03432026168028557,-0.0024460858507438146,0.009331812707869543,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2001-07-01,-0.00523497146818269,-0.004823162116491653,7.757031677092753e-4,-0.011190667418143091,-0.022512470865165904,-0.004186518566362018,-0.03642205238715146,-0.0010399010875432792,0.008555249432435304,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2001-10-01,-0.0039338355066990665,0.014472386434326957,-0.0022425185334787644,0.03428408303946631,-0.03334747713771209,-0.0011118018113566498,-0.03814504916207806,0.004528569868593272,0.006490997295683166,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-01-01,-0.011328830240407482,-0.008869764273158175,-0.0069625963824263325,0.05751640341049216,-0.03794913433635701,-0.0017831441637152002,-0.03989790959168982,-0.0037963310292910193,0.00626411109496632,-0.06843955711509175,-0.008380477776293471,0.04290787400556484,-0.006653649085454294,-0.040248678290905615,-0.03231304676586477,0.003698905937875918
2002-04-01,-0.007818833072017637,-0.00172477635461894,-0.007025655221778314,-0.05161446858172,-0.010510488681665443,-0.001441783538007535,-0.041251600512208775,-0.005556566974925589,0.006475600470286345,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-07-01,-0.0019724919658734006,-0.0027450258745165936,0.0035608787730291537,-0.003974515199153123,-0.018889635954221953,0.0010606803815812137,-0.04479207243309169,3.548076103609774e-4,0.006257600831036701,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002-10-01,4.0038962579675005e-4,0.01260322966618881,-2.065673284511356e-6,-0.03438812598865057,-0.0072216474354261494,0.0019503497936757762,-0.04973082321503863,-9.177751748006471e-4,0.005650949552627613,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-01-01,-0.005178770823784871,-0.02691981742761469,0.004719004791512128,-0.032786689228181926,-0.009302795813533727,-0.0065145171393029885,-0.05340398614247288,-7.826528238808108e-4,0.0045738544385403096,-0.09216842567836259,-0.008380477776293471,0.06787972520714258,-0.0511054116562879,-0.062352802575364574,-0.05808612450534367,0.007194472820702957
2003-04-01,-0.004094662687001259,-0.005520630339576571,-0.002944622738035284,0.04646854505331258,-0.014105526465761976,-0.001377193199958804,-0.056430975798550165,-0.004505205449193214,0.003758304643353416,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-07-01,0.0046527648824590834,0.01677184720919749,0.003041339669683475,-0.01789551735073322,-7.775493365157053e-4,3.565649361388589e-4,-0.05465253885041221,-8.300820787101783e-4,0.003208206891642763,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003-10-01,-0.0022072870095761186,-0.01104350228438895,-1.1411677472725635e-4,-0.0282304092871338,0.0046997421877236645,0.0016418411087394057,-0.05852239428349648,-0.004305549967670538,0.0032337229901276115,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004-01-01,-0.010542244310097258,-0.021074910411433678,-0.002623495989189627,-0.048486368496969495,-0.020244953639192945,-0.004392345132037711,-0.05346861201007602,-0.0014842037934346321,0.0030148558026276114,-0.05373791406758199,0.006910871435284238,0.04719257468111371,-0.11564393279385898,-0.03754779886377324,-0.027590487811691267,0.015214833952987228
2004-04-01,-0.0013080189647982064,-0.00691239328874167,-0.0027591701623640207,-0.048061363380065364,0.016539873987323636,-0.005051027324045087,-0.05701912798848152,1.6290090507318535e-4,0.003069052851238721,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004-07-01,-0.004685368445747682,9.762133055783327e-4,-0.005997952937490146,-0.013388910816965,-0.005728311480484095,-0.007677491373776412,-0.05929549405857859,-0.003924764412692313,0.0031511993158851873,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004-10-01,-0.0038451020512890164,-0.01932495555030107,0.002459172106863329,-0.04691898600011965,-0.0022250098414438716,-0.0028090843068752426,-0.06469067336499368,-0.004440535073931181,0.0032704417401276126,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005-01-01,-0.0035827347107139627,-0.006810497081463596,0.002856711375449984,0.01324279673657705,-0.024821116674919333,0.002635304634806068,-0.07723361150435881,-0.003902153230448421,0.003211328836901805,0.00299812755479989,0.019250359623029567,-0.014026047746787063,-0.1813953103566397,0.011788085428988127,0.034072879293946645,0.02198192671785365
2005-04-01,0.010958839912727671,0.013975637735336988,0.0063774723459649975,0.026168428175408126,0.021386502456111442,-0.007746187048780861,-0.06578759583672422,-0.004742518092357281,0.0031715571247429974,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005-07-01,-8.512966927535768e-4,-0.005232842299103546,-0.002761607317581215,0.04088160553651035,0.004997099378949365,-0.009861909341402885,-0.06461730390515275,-0.004267098960264911,0.0031868053764912445,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005-10-01,-2.3181044579599717e-5,-0.012679568973170085,-0.0038948636301109106,-0.0755994993071046,0.037413512621106745,-0.007754192761710776,-0.059914205807011456,-0.0020700526495694063,0.0037197386151276088,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006-01-01,0.013818406849521127,0.018110240034077286,0.018740180470519088,0.056671651481487034,-0.013503436986330343,0.0018841657450981652,-0.048921492764199215,-0.007778923148078506,0.004394441740127612,0.017259635671747375,0.026209566186881306,-0.01807463627278727,-0.24141332008289274,0.018186059908647745,0.040695420054440046,0.026072991480209362
2006-04-01,0.005569328445440393,-0.016462708161106242,-0.0050950490944915204,0.07699431566840156,0.05602660775612238,-0.014778681644853997,-0.04678555679447083,-0.002470618815004785,0.005099594965934063,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006-07-01,0.0042447553563687585,0.0032204715778886726,0.0026527818913114854,-0.011734596422729643,0.012672724210844798,0.004962818496395094,-0.03634256515043077,-0.0031373890260986328,0.005914210970896841,NaN,NaN,NaN,NaN,NaN,NaN,NaN
