period,Ygrowth,GCgrowth,Cgrowth,GIgrowth,Igrowth,wgrowth,N,pi,RB,TOP10Ishare,TOP10Wshare,GiniGrossInc,GiniNetInc,GiniWealth
2001-07-01,-0.0058366434702554985,-0.005718704216669267,2.832852690885842e-4,-0.011648223864951271,-0.023174082460067396,-0.004898672573233539,-0.03685855847580655,-0.0010399010875432792,0.008555249432435304,NaN,NaN,NaN,NaN,NaN
2001-10-01,-0.004535847379166813,0.013576504463758843,-0.002735276302489065,0.033896006935245936,-0.03401928484964604,-0.00182429568861778,-0.0391647092420051,0.004528569868593272,0.006490997295683166,NaN,NaN,NaN,NaN,NaN
2002-01-01,-0.01193118237988624,-0.009765986510740853,-0.007455694418452974,0.056988346613297956,-0.0386015698220216,-0.0024959783079926716,-0.04150106392990516,-0.0037963310292910193,0.00626411109496632,-0.06843955711509175,-0.008380477776293471,-0.040248678290905615,-0.03231304676586477,0.003698905937875918
2002-04-01,-0.006088228582767275,-2.8804196347160735e-4,-0.005185796629074058,-0.04987780334518247,-0.008819167536208964,1.7833894644589138e-4,-0.041105292479981514,-0.005556566974925589,0.006475600470286345,NaN,NaN,NaN,NaN,NaN
2002-07-01,-0.0027912154843952267,-0.00385761949114145,0.0028514093579594443,-0.004579841780407415,-0.019778489535086912,1.3147485826067468e-4,-0.045445630038194906,3.548076103609774e-4,0.006257600831036701,NaN,NaN,NaN,NaN,NaN
2002-10-01,-4.1897418994831827e-4,0.011489995752338934,-7.121753855756866e-4,-0.034853158107219485,-0.00813240804852026,0.0010205039731337713,-0.05118488675469557,-9.177751748006471e-4,0.005650949552627613,NaN,NaN,NaN,NaN,NaN
2003-01-01,-0.005998775962700509,-0.02803369266463247,0.00400825375605216,-0.033676635259055544,-0.01015120321129285,-0.007445004283013787,-0.05565919693985144,-7.826528238808108e-4,0.0045738544385403096,-0.09216842567836259,-0.008380477776293471,-0.062352802575364574,-0.05808612450534367,0.007194472820702957
2003-04-01,-0.0017120017385876766,-0.003431839489265131,-4.5270768616780845e-4,0.04899881006791714,-0.011782663775981176,8.94985743657842e-4,-0.056284667766322904,-0.004505205449193214,0.003758304643353416,NaN,NaN,NaN,NaN,NaN
2003-07-01,0.00374767949769581,0.015572891726331185,0.0022455083883740953,-0.01858736195986636,-0.0017532615572772119,-6.590024534213505e-4,-0.05539245832175599,-8.300820787101783e-4,0.003208206891642763,NaN,NaN,NaN,NaN,NaN
2003-10-01,-0.003113158490238877,-0.012243243863153851,-9.107341519343452e-4,-0.02892044720769486,0.0037233417639431403,6.254876232814873e-4,-0.06014932735430989,-0.004305549967670538,0.0032337229901276115,NaN,NaN,NaN,NaN,NaN
2004-01-01,-0.011448903282451428,-0.022275439481892655,-0.0034209008580916803,-0.049395488623126184,-0.02119019725877373,-0.005409486109190595,-0.05598334617205314,-0.0014842037934346321,0.0030148558026276114,-0.05373791406758199,0.006910871435284238,-0.03754779886377324,-0.027590487811691267,0.015214833952987228
2004-04-01,0.0013341653482130452,-0.00456407907383256,-7.731745898876055e-6,-0.04520020480755763,0.019111353112197655,-0.0025193250158307727,-0.05687281995625426,1.6290090507318535e-4,0.003069052851238721,NaN,NaN,NaN,NaN,NaN
2004-07-01,-0.0022678558726634494,0.0030998557805595357,-0.0034711862609520198,-0.01074878667224836,-0.0033812826300467043,-0.005370460805489116,-0.05671281557207575,-0.003924764412692313,0.0031511993158851873,NaN,NaN,NaN,NaN,NaN
2004-10-01,-0.00143351095520774,-0.017207234552321937,0.004980017306398498,-0.044360005873291065,1.2666130377943685e-4,-5.079752155909027e-4,-0.05967754590121466,-0.004440535073931181,0.0032704417401276126,NaN,NaN,NaN,NaN,NaN
2005-01-01,-0.008468412023456185,-0.011990044492309736,-0.0019197118338383449,0.008339295526892462,-0.029745469972708143,-0.0023608546827330905,-0.07708730347213155,-0.003902153230448421,0.003211328836901805,0.00299812755479989,0.019250359623029567,0.011788085428988127,0.034072879293946645,0.02198192671785365
2005-04-01,0.010939982031535433,0.01366290975604172,0.006467868568226653,0.026373855809840602,0.02129696586216297,-0.007875526934770036,-0.06564128780449696,-0.004742518092357281,0.0031715571247429974,NaN,NaN,NaN,NaN,NaN
2005-07-01,-8.701545739458142e-4,-0.005545570278398814,-0.0026712110953195593,0.041081459458427304,0.004907852638729467,-0.00999124922739206,-0.06447099587292549,-0.004267098960264911,0.0031868053764912445,NaN,NaN,NaN,NaN,NaN
2005-10-01,-4.203892577183711e-5,-0.012992296952465354,-0.003804467407849255,-0.075548837880875,0.037345164413288355,-0.007883532647699951,-0.059767897774784196,-0.0020700526495694063,0.0037197386151276088,NaN,NaN,NaN,NaN,NaN
2006-01-01,0.01379954896832889,0.017797512054782017,0.018830576692780744,0.056720929973819466,-0.013571998364805863,0.0017548258591089912,-0.048775184731971954,-0.007778923148078506,0.004394441740127612,0.017259635671747375,0.026209566186881306,0.018186059908647745,0.040695420054440046,0.026072991480209362
2006-04-01,0.005550470564248155,-0.01677543614040151,-0.005004652872229865,0.07719555252421569,0.05593757418655961,-0.014908021530843172,-0.04663924876224357,-0.002470618815004785,0.005099594965934063,NaN,NaN,NaN,NaN,NaN
2006-07-01,0.004225897475176521,0.002907743598593405,0.002743178113573141,-0.011609338748656365,0.012593926736825653,0.00483347861040592,-0.03619625711820351,-0.0031373890260986328,0.005914210970896841,NaN,NaN,NaN,NaN,NaN
2006-10-01,0.009414068061111646,-0.002872713277387761,0.0075501488193914,0.004147861851692211,0.028967232052320952,-0.008714596356620561,-0.02576385723301744,-7.840091004003482e-4,0.006835917930603804,NaN,NaN,NaN,NaN,NaN
