period,Ygrowth,GCgrowth,Cgrowth,GIgrowth,Igrowth,wgrowth,N,pi,RB,TOP10Ishare,TOP10Wshare
1996-10-01,0.0017016488222018405,-0.00740781782081724,0.001509574725125618,-0.02460493788517357,0.014725859141687917,-0.002324425798391833,-0.047147257165223166,-0.01513786646450079,0.005832905477751084,NaN,NaN
1997-01-01,-7.496777842207142e-4,-2.682816139334505e-4,0.00600133179429544,-0.036232394905107296,-0.015502290482495492,6.368562599164238e-4,-0.0556244567843418,-0.017604331867998833,0.005466237977751083,-0.09564999273365538,-0.01894209681131309
1997-04-01,0.0061345082639458265,-0.0012083231151536295,0.0014097905736950916,0.009457044764927617,0.02622526229175295,-0.006775314540821104,-0.04651602780464348,-0.011020715624549668,0.005182905477751081,NaN,NaN
1997-07-01,-0.0033121270552048604,-0.01807193171662581,-7.917503399842377e-5,-0.026036538441849253,0.004897231021757901,-0.005643160668990139,-0.04534690344473091,-0.007486582545409811,0.0051745704777510825,NaN,NaN
1997-10-01,5.937707339018e-4,-0.015881380293877766,0.003410645936706403,-0.08152251679903297,0.01792805013962531,0.0021529288959492407,-0.04835543214379179,-0.0027022030483983186,0.005449570477751083,NaN,NaN
1998-01-01,0.008810262280464366,0.01698134255922378,-0.001126797287564229,0.10370460973271503,0.017385112762920787,-0.0010817969326435031,-0.048331823256555495,-0.009309221148271726,0.0048745704777510826,-0.0758722330176127,-0.005757410783096106
1998-04-01,-0.015030032194285857,-0.009080427991132522,-0.013173481448736167,-0.04088626588566721,-0.022380804977761824,-0.005976754178000438,-0.04930706429999532,0.00162048214087516,0.004507905477751082,NaN,NaN
1998-07-01,0.003413194146446508,-0.004018380332120107,0.007030638444571225,0.008726846470369169,1.6743343971994755e-4,-0.001119816133250812,-0.04348390007543923,-0.0018580769344720607,0.004207905477751082,NaN,NaN
1998-10-01,-0.004052217053699258,-0.010321265047441363,0.00477007740139871,-0.05783042723619178,-0.016013852683846228,-9.183126342069028e-4,-0.04383593074215941,0.004326346187660127,0.0034245704777510827,NaN,NaN
1999-01-01,0.017627217146271613,0.03204663112246541,0.01012585965507188,0.19252641309509724,0.0029076905896836796,-0.0031488470563445117,-0.0437433589458367,-0.0034734005984202922,0.002087825279338383,-0.07711640114078078,0.0029367841315056653
1999-04-01,0.0018744293929965688,-0.002366236882945803,0.0034972308117770306,-3.0804203644005596e-4,0.0018744154086976197,0.010366755244120934,-0.042264122921534586,-0.0019584072979577285,9.534302854433876e-4,NaN,NaN
1999-07-01,0.0063386297124434,0.010632315648459335,6.61742362352869e-4,-0.016458081645821274,0.02112380809719119,0.004092391234987541,-0.039992476256629494,-0.00860340517259541,0.0011147228262359324,NaN,NaN
1999-10-01,0.0016425034630084606,-0.014195181563306802,0.009520955754607131,-0.0017614512149228567,-0.004302725197302211,0.002061991289789272,-0.03792714837309763,-0.006042265077451,0.002942814900828007,NaN,NaN
2000-01-01,0.014802762856083541,0.018864977776422032,0.010456235083586764,-0.0032916535127651436,0.025462107447467932,0.005501517483537593,-0.03217334734311983,-0.0076086185424855315,0.0032377764392895426,-0.07214898949836379,-0.002618785713096372
